%:382	% 120:1	% 13:1	% 150:1	% 180:1	% 2:1	% 26:1	% 30:2	% 60:2	% 6\/2:1
% 90:2	% NULL:47	% a:4	% above:2	% according:2	% aim:1	% and:10	% as:1	% at:3	% before:2
% below:1	% black:1	% bond:2	% bonds:1	% boost:1	% britain:1	% by:2	% compared:2	% convertible:1	% decline:6
% default:1	% drop:8	% five:1	% for:1	% friday:2	% from:20	% gain:4	% germany:1	% goldman:1	% growth:2
% had:1	% have:1	% high:1	% higher:2	% however:1	% if:1	% in:32	% increase:8	% interest:5	% is:1
% issue:5	% its:1	% japan:1	% jump:3	% last:5	% loss:1	% low:1	% month-to-month:1	% more:2	% mr.:1
% near:1	% norway:1	% notes:1	% of:45	% offered:1	% on:6	% one:5	% or:2	% over:1	% partner:1
% plunge:1	% profit:1	% rate:2	% reduction:1	% reflecting:1	% reimburse:1	% return:3	% rise:3	% sales:1	% say:1
% securities:2	% senior:1	% share:1	% since:1	% six:3	% so:1	% stake:6	% standard:2	% subordinated:1	% switzerland:1
% the:2	% this:1	% three:4	% through:1	% to:42	% two:1	% up:1	% wage:1	% well:1	% were:1
% when:2	% while:4	% with:4	% year-to-year:1	&:80	& antiques:1	& associates:1	& banking:2	& barrow:1	& bradstreet:1
& clark:1	& co:10	& co.:29	& decker:1	& equity:1	& flom:1	& gamble:5	& health:1	& jenrette:1	& johnson:1
aluminum products:1	aluminum shipments:1	aluminum-makers:1	aluminum-makers take:1	always:7	always a:1	always existed:1	always less:1	always represent:1	always there:1
always thought:1	always willing:1	am:4	am NULL:1	am international:1	am sure:1	am ventures:1	amassed:1	amassed a:1	ambassador:1
ambassador NULL:1	ambition:1	ambition of:1	ambitious:4	ambitious goal:1	ambitious goals:1	ambitious new:1	ambitious plan:1	ambler:1	ambler pa.:1
ambulance:1	ambulance left:1	amcast:2	amcast industrial:1	amcast previously:1	amcore:4	amcore also:1	amcore financial:1	amcore said:1	amcore stock:1
amending:1	amending the:1	amendment:5	amendment NULL:2	amendment and:1	amendment is:1	amendment to:1	america:12	america 's:1	america NULL:4
america agrees:1	america friday:1	america had:1	america inc:1	america inc.:1	america ratified:1	america though:1	american:34	american accounting:1	american air:1
american airlines:3	american banks:1	american business:3	american continental:2	american countries:1	american depositary:1	american express:3	american image:1	american institute:1	american iron:3
american journalist:1	american medical:1	american motors:1	american people:1	american press:1	american securities:1	american standard:1	american stock:2	american telephone:3	american version:1
americans:2	americans using:1	americans would:1	amerigas:4	amerigas 's:1	amerigas has:1	amerigas subsidiary:2	ames:1	ames co.:1	amex:3
amex added:1	amex officials:2	amicable:1	amicable investment:1	amid:8	amid a:1	amid all:1	amid charges:1	amid indications:1	amid oil:1
amid political:1	amid signs:1	amid speculation:1	ammo:1	ammo and:1	among:35	among a:1	among arbitragers:1	among benchmark:1	among big:2
among commercial:1	among eight:1	among four:1	among good:1	among its:1	among many:1	among market:1	among most:1	among other:7	among rail:1
among scholars:1	among shorter-term:1	among takeover:1	among that:1	among the:8	among them:1	among those:1	amortization:1	amortization of:1	amortize:1
amortize the:1	amount:18	amount NULL:3	amount equal:1	amount every:1	amount in:1	amount is:1	amount j.p.:1	amount of:7	amount to:1
amount tomorrow:1	amount yesterday:1	amounted:2	amounted to:2	amounts:4	amounts NULL:1	amounts of:3	amplifiers:1	amplifiers for:1	amr:26
amr 's:1	amr NULL:1	amr and:1	amr board:2	amr corp.:4	amr declined:2	amr examples:1	amr executives:1	amr had:2	amr is:1
amr merck:1	amr opened:1	amr said:1	amr slid:1	amr stake:1	amr stock:1	amr tumbles:1	amr was:1	amr which:1	amr whose:1
amsterdam:1	amsterdam zurich:1	amtrak:1	amtrak including:1	an:241	an 11:1	an 18:1	an 18-a-share:1	an 18.9:1	an 80:1
an a:1	an abnormal:1	an absolute:1	an account:1	an acquired:1	an acquisition:2	an active:1	an additional:5	an advantage:2	an adversarial:1
an affiliate:1	an agfa:1	an aggressive:1	an agreement:8	an aide:1	an airline:1	an ambitious:1	an american:3	an amount:1	an analyst:6
an anonymous:1	an apartment:1	an appeals:1	an appropriate:2	an archival:1	an arm:1	an arrangement:1	an art:1	an artist:1	an assassin:1
an associate:2	an association:1	an athens:1	an atlanta:1	an attempt:3	an attorney:2	an auction:1	an audit:1	an auto:1	an autograph:1
an average:3	an awful:1	an eager:1	an early:2	an earthquake:1	an ebullient:1	an economist:1	an educational:1	an effort:4	an effusive:1
an election:1	an emergency:1	an encouraging:1	an enormous:1	an entirely:1	an environmentally:1	an estimated:2	an evangelical:1	an even:3	an event:1
an ever-narrowing:2	an ex-hurler:1	an excellent:1	an excess:1	an exchange:2	an excuse:2	an executive:1	an exhibition:1	an existing:1	an expansion:1
an expected:1	an expedited:1	an expert:1	an explicit:1	an exploratory:1	an export:2	an extensive:1	an extra:2	an extraordinary:1	an extreme:1
an homage:1	an hour:4	an huyện:2	an huyện việt:2	an idealistic:1	an ill-mannered:1	an image:1	an immediate:1	an import:1	an important:2
an impossible:1	an income:1	an increase:4	an increasing:1	an incredible:1	an indelible:1	an independent:2	an index:1	an indicated:1	an indication:1
an individual:3	an industrial:1	an initial:1	an institution:1	an instructional:1	an intercept:1	an interim:2	an interlude:1	an international:4	an interruption:1
an interview:2	an intraday:1	an investigation:1	an investment:1	an investment-banking:2	an investor:1	an investors:1	an ipo:3	an irish-soviet:1	an lbo:2
an nbc-tv:1	an ninh:2	an ninh bệnh:1	an ninh và:1	an oasis:1	an offer:2	an offering:1	an officer:1	an official:1	an oil:3
an old:2	an operating:1	an operations:1	an opportunity:1	an optimistic:1	an options:3	an order:1	an organization:1	an organized:1	an ounce:3
an outside:1	an overall:1	an overreaction:1	an quận:6	an quận 9:5	an quận hoàn:1	an rtc-owned:1	an sec:1	an thành:2	an thành phố:2
an tp:1	an tp đà:1	an tỉnh:1	an tỉnh bình:1	an unborn:1	an underachiever:1	an undercurrent:1	an understanding:1	an undetermined:1	an undisclosed:1
an unexpectedly:1	an unknown:1	an unsettled:1	an unusual:1	an unwanted:1	an upturn:1	an upward:1	an đà:3	an đà nẵng:2	an đà nẵng…:1
analysis:3	analysis and:1	analysis shows:1	analysis they:1	analyst:23	analyst NULL:1	analyst at:5	analyst estimated:1	analyst for:2	analyst kevin:1
analyst peter:1	analyst predicts:1	analyst said:4	analyst the:1	analyst thought:1	analyst with:5	analysts:36	analysts ':7	analysts and:2	analysts are:3
analysts at:2	analysts cited:1	analysts contend:1	analysts estimate:1	analysts expect:1	analysts foresee:1	analysts had:1	analysts have:2	analysts however:1	analysts on:1
analysts predict:1	analysts said:4	analysts say:1	analysts think:1	analysts to:1	analysts told:1	analysts while:1	analysts whose:1	analysts worry:1	analytical:1
analytical services:1	anctil:1	anctil vice:1	and:1278	and 1:1	and 1,000:1	and 10-year:1	and 100,000:1	and 11.3:1	and 15:1
and 175:1	and 18:2	and 20:1	and 2100:1	and 215.3:1	and 24:1	and 250,000:1	and 3.4:1	and 3.9:1	and 31:1
and 5:1	and 6:1	and 6.5:1	and 64:2	and 7:1	and 77:1	and 84:1	and 87.375:1	and 9:1	and 900:1
and a:27	and able:1	and abroad:1	and academia:1	and according:1	and accurately:1	and accused:1	and acquisition:1	and across:1	and actual:1
and ad:1	and address:1	and adds:2	and admirable:1	and advanced-technology:1	and aerospace:1	and after:1	and ahs:2	and air:1	and air-conditioning:1
and airlines:1	and alcan:1	and all:4	and allowing:1	and aluminum:1	and america:1	and american:5	and amex:2	and amr:5	and an:4
and analysts:1	and annual:1	and another:2	and any:1	and appliance:1	and appropriate:1	and approval:1	and approve:1	and approved:1	and arbitragers:1
and are:5	and argues:1	and armco:1	and artificial:1	and as:2	and asked:1	and assistants:1	and assuming:2	and at:4	and attractiveness:1
and auctions:1	and automobiles:1	and back:1	and backed:2	and baker:1	and bankers:2	and banking:2	and banks:1	and banshees:1	and basing:1
and batted:1	and baxter:1	and be:1	and bear:1	and became:1	and before:1	and benchmark:1	and berkeley:1	and beyond:1	and bid:1
and bigger:1	and bill:1	and bills:1	and black:1	and black-and-white:1	and blast:1	and blinds:1	and booed:1	and book:1	and bottling:1
and bought:4	and brazil:1	and british:1	and broadcasting:1	and brokerage:2	and brokers:1	and brought:1	and builders:1	and building:3	and bury:1
and butter:1	and buy:1	and by:1	and ca:1	and cable:1	and calls:1	and campeau:1	and canada:3	and canadian:1	and cap:1
and capital:1	and capricious:1	and car:1	and cara:1	and carpeted:1	and carries:1	and carry:1	and cash:1	and catering:1	and cause:1
and caused:1	and centrust:2	and certainty:1	and charged:1	and chase:5	and chicago:1	and chief:19	and chinese:1	and cinematography:1	and cites:1
and classic:1	and closed:1	and closing:1	and cobbled:1	and coca-cola:1	and collaborators:1	and collector:1	and collectors:1	and college:2	and colleges:1
and comparative:1	and competitors:1	and computer:1	and concerned:1	and confessions:1	and confirmed:1	and conservatives:1	and consultant:1	and consumer:1	and consumers:1
and contact:1	and continental:1	and continuation:1	and continue:1	and continued:1	and corrected:1	and could:2	and critics:1	and crude:1	and currency:1
and current:1	and cut:2	and dabs:1	and daewoo:1	and data:1	and day-care:1	and dean:2	and debenture:1	and debentures:1	and decides:1
and declares:1	and declined:1	and declining:1	and defense:1	and deliberate:1	and dental:2	and department-store:1	and describing:1	and destabilize:1	and deteriorating:1
and developing:1	and development:1	and did:2	and direct:1	and director:3	and disposal:1	and disrupted:1	and disruptive:1	and distribute:2	and distributes:1
and distribution:1	and dividends:2	and do:1	and domestic:1	and dresdner:1	and drexel:2	and dropped:1	and drug:1	and dump:1	and dutch:1
and e.m.:1	and early:2	and earnings:2	and ease:1	and economic:1	and economics:1	and editor:1	and education:1	and effective:2	and eight:1
and electric:1	and electrical:1	and electrogalvanized:1	and electronic:1	and elsewhere:1	and emblems:1	and emotionally:1	and employment:1	and encouraged:1	and end:1
and ended:1	and ends:2	and energy-efficient:1	and engineers:2	and enlightening:1	and environmental:1	and epson:1	and equipment:2	and equitable:1	and equity:2
and erased:1	and especially:1	and essayist:1	and estimate:1	and european:1	and even:4	and eventual:1	and exchange:10	and execute:1	and executives:1
and exercise:1	and exotic:1	and expand:1	and expenses:1	and expensive:2	and experienced:1	and explaining:1	and extended:1	and face:1	and failure:1
and fair:1	and fairfax:1	and fan:1	and fans:1	and farm-supply:1	and federal:1	and federal-formula:1	and feels:1	and felt:1	and females:1
and ferc:1	and film:1	and financial:2	and finding:1	and fined:1	and fines:1	and fire:1	and fires:1	and fitness:1	and fixtures:1
and fled:1	and flexibility:1	and flight:1	and flirting:1	and florida:1	and fmha:1	and food:2	and for:2	and foreign:2	and four:1
and france:1	and free:1	and freezers:1	and fresh:1	and fund:1	and furnish:1	and future:1	and futures:2	and gadsden:1	and gains:1
and gas:2	and gauze:1	and gave:1	and ge:1	and general:3	and gently:1	and gerald:1	and get:1	and getting:2	and giant:1
and giants:1	and give:1	and gloated:1	and gloating:1	and go:1	and gold:2	and good:2	and got:1	and government:1	and gpa:1
and greater:1	and group:1	and guber-peters:2	and had:3	and half:1	and hanifen:1	and hard-currency:1	and harvard:1	and has:6	and have:2
and hawaii:3	and he:2	and health:1	and heavy:2	and help:1	and her:3	and herring:1	and higher:1	and highly:1	and highway:1
and his:10	and hits:1	and hold:1	and homered:1	and hopes:1	and how:1	and human:2	and hung:1	and hypnotic:1	and hypnotized:1
and i:3	and if:1	and improving:2	and in:4	and incest:1	and income:1	and increase:1	and indeed:1	and indian:1	and individual:1
and industrial:2	and industry:2	and inevitably:1	and inflows:1	and ing:1	and interest:2	and international:1	and into:1	and introduced:1	and introduction:1
and investment:1	and investors:2	and irresponsible:1	and is:4	and it:15	and italy:2	and its:7	and jakarta:1	and james:1	and japan:1
and jitters:1	and john:1	and jpi:1	and june:1	and junior:1	and keep:1	and kept:2	and key:1	and kicked:1	and kicks:1
and kodak:2	and labor:1	and lakes:1	and large:1	and latin:1	and lawyer:1	and lbos:1	and lead:1	and leases:1	and leasing:1
and leaves:1	and less:1	and leveraged:2	and life:1	and liked:1	and limits:1	and lin:1	and links:2	and liquidity:2	and liquor:1
and loan:1	and lobbyists:1	and localities:1	and long-term:3	and look:1	and losses:1	and louisiana:1	and low-interest:1	and lower:1	and lower-than-expected:1
and loyalty:1	and mabon:1	and made:1	and major:1	and make:2	and manage:1	and managed:1	and management:3	and managers:1	and manufacturing:1
and many:1	and marble:2	and margins:1	and marine:1	and marines:1	and market:1	and marketing:3	and markets:1	and matt:1	and may:1
and maybe:1	and mcdonald:1	and meanest:1	and means:4	and measurable:1	and meat:1	and media:1	and menswear:1	and merrill:1	and mexico:1
and michigan:1	and middle-income:1	and military:1	and minimize:1	and minority:1	and modern:1	and monaco:1	and morals:1	and more:2	and most:1
and mr.:6	and mundane:1	and municipal:2	and national:3	and natural:1	and nbc:1	and need:1	and needed:1	and never:1	and new:2
and next:1	and night:1	and no:1	and non-dual:1	and nonperforming:2	and not:5	and now:1	and nowadays:1	and number:1	and nurses:1
and of:2	and offer:2	and offers:3	and oil:1	and oilwell:1	and on:5	and once:1	and one:3	and only:1	and opened:1
and operating:2	and opinion:1	and options:4	and organized:1	and oriental:1	and other:25	and others:2	and out:2	and overseas:1	and owns:1
and pacific:2	and painewebber:2	and pakistan:1	and paper:2	and parked:1	and particularly:2	and patent:1	and pay:2	and payment:1	and pennsylvania:1
and people:3	and perhaps:1	and personnel:1	and pizza:1	and place:1	and placed:1	and platinum:1	and plays:2	and plumbing:1	and polaroid:1
and popeye:1	and pork:1	and possibly:1	and preferred:1	and president:2	and price:1	and principal:1	and private:1	and procedures:1	and processing:1
and proctor:1	and produce:1	and producing:1	and product:2	and production:1	and products:1	and professional:1	and profit-taking:1	and profitable:1	and program:2
and proposed:1	and prospects:1	and provider:1	and provides:1	and prudently:1	and punched:1	and purchasing:1	and purposes:1	and pursue:1	and put:2
and puts:1	and putting:1	and pyongyang:1	and quickly:2	and racked:1	and ragtime:1	and raiders:1	and rainman:1	and raisa:1	and ralph:1
and recently:1	and recessions:1	and recreational:1	and redial:1	and reduce:1	and refrigerators:1	and refurbished:1	and registered:1	and regulators:1	and reinvested:1
and related:1	and renamed:1	and rep.:1	and reported:1	and represent:2	and resent:1	and restraint:1	and restructuring:1	and resume:1	and retailers:1
and returned:1	and reversed:1	and revised:1	and ribbies:1	and rise:1	and rumors:1	and rush:1	and rushed:1	and sad:1	and said:5
and sale:1	and sales:3	and salesmen:1	and sanctions:1	and sarah:1	and say:1	and schroders:1	and scientific:1	and scored:1	and scoring:1
and securities:1	and security:1	and see:2	and seek:1	and sell:2	and sellers:1	and selling:2	and sells:2	and senate:1	and september:1
and serves:1	and services:3	and set:1	and settled:1	and shake:1	and shannon:1	and she:2	and ships:1	and shook:1	and should:1
and shoulders:1	and showed:3	and shv:1	and signs:1	and singapore:3	and slapped:1	and small:2	and so:1	and societe:1	and sold:2
and some:3	and sometime:1	and sonja:1	and soon:2	and sophisticated:1	and sorrow:1	and sotheby:1	and sounds:1	and south:1	and soviet:1
and soybean:1	and special:1	and specialists:1	and specialty:2	and speculators:1	and sponsored:1	and sporting:1	and stability:1	and staging:1	and standard:1
and stay:1	and steadily:1	and steel:3	and stewart:1	and stock:2	and stockholm:1	and stocks:2	and stopped:1	and straining:1	and striking:1
and subject:1	and subordinated:2	and subscription:1	and subtracting:1	and such:2	and sugar:1	and supplies:1	and support:1	and supportive:1	and suspended:1
and swapo:1	and t-shirts:1	and t.:1	and taco:1	and tacoma:1	and take:3	and takeover:1	and taped:1	and technology:1	and telephones:1
and telerate:1	and television:2	and terry:1	and that:14	and the:94	and their:1	and then:11	and there:5	and thereafter:1	and they:5
and things:1	and this:3	and threw:1	and through:1	and throughout:1	and thus:1	and to:12	and tokyo:2	and took:1	and topped:1
and total:1	and trade:1	and trader:1	and traders:3	and trading:1	and training:1	and translation:1	and transmissions:1	and transportation:2	and treasury:2
and trouble:1	and trucks:1	and try:2	and tunnel:1	and turned:2	and turns:1	and two:2	and typically:1	and u.s.:1	and ual:1
and unauthorized:1	and uncalled:1	and unconventional:1	and unflaggingly:1	and unicorp:1	and union:2	and unions:1	and unisys:1	and university:1	and until:3
and up:1	and use:1	and valero:1	and various:1	and vibration-control:1	and viewers:1	and volume:1	and vowed:1	and waiting:1	and wal-mart:1
and wanted:1	and warehouse-type:1	and warrants:1	and was:8	and washington:1	and waste:1	and watched:1	and water:1	and we:2	and weaken:1
and weaker:1	and webern:1	and wedgwood:1	and wednesday:1	and weighty:1	and well:1	and were:2	and west:2	and western:1	and what:2
and when:4	and where:2	and whether:1	and while:2	and white:15	and why:1	and will:7	and william:1	and with:2	and women:1
and work:2	and write:1	and wrote:1	and yesterday:3	and you:3	and\/or:1	and\/or issue:1	andreas:1	andreas insam:1	andy:2
andy rosen:2	angel:1	angel gurria:1	angeles:9	angeles bank:1	angeles brokerage:1	angeles company:1	angeles financier:1	angeles investor:1	angeles of:1
angeles said:1	angeles talking:1	angeles via:1	angeles-based:3	angeles-based firm:1	angeles-based guber-peters:1	angeles-based lincoln:1	angering:1	angering the:1	angola:1
angola and:1	anh:9	anh NULL:1	anh chiều:1	anh chiều con:1	anh hà:1	anh hà mượn:1	anh này:1	anh này gọi:1	anh ta:4
anh ta khai:1	anh ta rủ:1	anh ta uy:2	anh ta đến:1	anh ta đến giường:1	ann:2	ann arbor:1	ann taylor:1	annex:1	annex research:1
anniversary:1	anniversary all:1	announce:2	announce perhaps:1	announce soon:1	announced:11	announced a:3	announced by:2	announced in:1	announced it:1
announced plans:1	announced program:1	announced sale:1	announced the:1	announcement:8	announcement cms:1	announcement of:1	announcement opportunistic:1	announcement reached:1	announcement sent:1
announcement that:2	announcement then:1	announces:1	announces some:1	annoying:1	annoying to:1	annual:13	annual bonus:1	annual income:1	annual interest:1
annual membership:1	annual price:1	annual report:1	annual retail:1	annual returns:1	annual revenue:2	annual sales:2	annual tally:1	annualized:3	annualized NULL:1
annualized average:1	annualized interest:1	annually:3	annually NULL:1	annually a:1	annually up:1	annuities:1	annuities limited:1	anointing:1	anointing david:1
anonymous:1	anonymous caller:1	another:30	another 2.5:1	another 20:1	another 4.2:1	another 42:1	another 5:1	another 50:1	another ad:1
another analyst:1	another big:1	another dizzying:1	another dramatic:1	another executive:1	another firm:1	another french:1	another highly:1	another market:1	another mediocre:1
another medium:1	another meltdown:1	another multiple:1	another new:1	another offer:1	another possible:1	another potential:3	another rout:1	another shut:1	another sticking:1
another veteran:1	answer:3	answer is:1	answer say:1	answer will:1	ant:1	ant magnified:1	anthony:1	anthony j.f.:1	anti-abortion:1
anti-abortion groups:1	anti-debt:1	anti-debt direction:1	anti-defense:1	anti-defense greens:1	anti-nuclear:1	anti-nuclear groups:1	anti-recession:1	anti-recession housing:1	anti-toxic:1
anti-toxic initiative:1	anticipate:2	anticipate or:1	anticipate the:1	anticipated:1	anticipated west:1	anticipating:2	anticipating a:1	anticipating some:1	anticipation:1
anticipation of:1	anticompetitive:1	anticompetitive in:1	antiques:1	antiques magazine:1	antitrust:1	antitrust issues:1	antonia:1	antonia novello:1	antonini:2
antonini is:1	antonini said:1	antonio:1	antonio texas:1	antony:1	antony berry:1	anxiety:1	anxiety on:1	anxious:1	anxious times:1
anxiously:1	anxiously awaiting:1	any:52	any additional:1	any and:1	any bankruptcies:1	any bearish:1	any bids:1	any business:1	any carrier:1
any case:1	any cash:1	any competing:1	any cost:2	any crops:1	any delays:1	any disabling:1	any effort:1	any event:1	any extra:1
any extraordinary:1	any frequency:1	any hasty:1	any hopes:1	any impact:1	any influence:1	any information:1	any knowledge:1	any leasing:1	any money:1
any more:1	any new:1	any obvious:1	any of:3	any one:1	any others:1	any panic:1	any particular:1	any piece:1	any price:1
any purchases:1	any rate:1	any real:1	any sale:1	any shares:1	any strong:1	any time:4	any to:1	any way:1	anybody:1
anybody can:1	anyhow:1	anyhow following:1	anymore:2	anymore NULL:1	anymore laments:1	anyone:6	anyone can:1	anyone else:1	anyone from:1
anyone left:1	anyone they:1	anyone to:1	anything:12	anything NULL:3	anything can:1	anything else:1	anything for:1	anything good:1	anything in:3
anything needs:1	anything wrong:1	anyway:3	anyway NULL:1	anyway as:1	anyway the:1	apache:1	apache combat:1	apart:7	apart NULL:2
apart friday:1	apart from:1	apart now:1	apart on:1	apart said:1	apartheid:2	apartheid NULL:1	apartheid raising:1	apartment:3	apartment building:1
apartment complex:1	apartment construction:1	apathy:1	apathy or:1	apparel:3	apparel maker:1	apparel sales:1	apparel sold:1	apparent:1	apparent novelties:1
apparently:4	apparently has:1	apparently to:1	apparently was:1	apparently would:1	appeal:3	appeal NULL:2	appeal of:1	appeals:6	appeals court:5
appeals panel:1	appear:5	appear regularly:1	appear three:1	appear to:3	appeared:5	appeared confident:1	appeared late:1	appeared to:3	appearing:1
appearing today:1	appears:4	appears to:4	appease:1	appease adm.:1	applauding:1	applauding the:1	appliance:2	appliance makers:1	appliance manufacture:1
appliances:1	appliances and:1	applicable:1	applicable requirements:1	applications:4	applications NULL:2	applications have:1	applications sales:1	applied:15	applied 's:2
applied NULL:1	applied about:1	applied and:1	applied as:1	applied at:1	applied continues:1	applied for:1	applied i:1	applied in:1	applied mr.:1
applied photography:1	applied power:1	applied then:1	apply:1	apply the:1	appointed:2	appointed he:1	appointed president:1	appointment:2	appointment is:1
appointment of:1	appraisal:1	appraisal NULL:1	appraisals:1	appraisals to:1	appraiser:1	appraiser at:1	appraisers:1	appraisers association:1	appreciated:1
appreciated 51:1	appreciation:3	appreciation NULL:1	appreciation from:1	appreciation says:1	approach:3	approach NULL:1	approach the:1	approach to:1	approached:1
approached texas:1	appropriate:7	appropriate NULL:1	appropriate approvals:1	appropriate eeriness:1	appropriate he:1	appropriate incentives:1	appropriate mixture:1	appropriate sanctions:1	appropriations:2
appropriations committees:1	appropriations subcommittee:1	approval:7	approval NULL:1	approval but:1	approval by:4	approval of:1	approvals:2	approvals NULL:2	approve:4
approve NULL:1	approve leveraged:1	approve the:2	approved:11	approved a:4	approved by:3	approved contributed:1	approved for:1	approved limits:1	approved overwhelmingly:1
approving:1	approving of:1	april:8	april 19:1	april 1972:1	april NULL:1	april as:1	april by:1	april mr.:1	april the:1
april when:1	aquitaine:1	aquitaine the:1	arab:2	arab despots:1	arab potentates:1	arbitrage:1	arbitrage as:1	arbitragers:6	arbitragers already:1
arbitragers and:2	arbitragers rather:1	arbitragers that:1	arbitragers who:1	arbitrary:1	arbitrary and:1	arbor:1	arbor mich.:1	architectural:1	architectural firm:1
archival:1	archival almost:1	are:240	are 240:1	are a:5	are able:1	are about:1	are administered:1	are afraid:1	are aimed:1
are all:2	are already:1	are anxiously:1	are approving:1	are as:1	are asking:1	are attached:1	are auction:1	are awash:1	are balanced:1
are based:2	are being:1	are better:2	are brilliant:1	are burnt:1	are busy:1	are buying:1	are calculated:1	are capable:1	are cautious:1
are chiefly:1	are clearly:1	are cluett:1	are coming:1	are competitive:1	are computer:1	are concerned:2	are concluded:1	are confident:1	are connected:1
are considered:1	are considering:1	are constructing:1	are continuing:1	are covered:1	are crawling:1	are crowded:1	are crucial:1	are currently:1	are dated:1
are definitely:1	are determined:1	are directly:1	are doing:1	are done:1	are downbeat:1	are enjoying:2	are estimated:1	are even:1	are everywhere:1
are executed:1	are expected:9	are experiencing:1	are far:2	are feeling:1	are figuring:1	are followed:1	are full:1	are fully:1	are getting:2
are going:3	are grounds:1	are heading:1	are hesitating:1	are higher:1	are holding:1	are how:1	are illegal:1	are in:4	are included:1
are intimidating:1	are introducing:1	are its:1	are jeopardized:1	are joint:1	are just:2	are kept:1	are lead:1	are led:1	are less:1
are likely:3	are little:1	are looking:4	are low:2	are lower:1	are making:1	are more:1	are most:1	are much:1	are n't:14
are neglected:1	are negotiating:1	are no:3	are not:3	are now:2	are off:1	are omitted:1	are on:1	are only:1	are opposed:1
are optimistic:1	are outpacing:1	are over:1	are owed:2	are paev:2	are pleased:1	are potential:1	are predicting:1	are prepared:1	are pretty:1
are price:1	are probably:1	are producing:1	are quoted:2	are racing:1	are ranked:1	are relatively:1	are released:1	are relentlessly:1	are relying:1
are reported:1	are responding:1	are rich:1	are rising:1	are rolling:2	are safer:1	are scheduled:2	are scrambling:1	are seeking:1	are serious:1
are set:1	are similar:2	are skyrocketing:1	are small:1	are so:1	are sold:2	are some:1	are specially:1	are springing:1	are starting:2
are still:3	are struggling:1	are studying:1	are suing:1	are supposed:1	are sure:1	are survivable:1	are taking:1	are tastefully:1	are the:2
are tight:1	are to:3	are translated:1	are trying:2	are twisted:1	are unable:1	are under:1	are united:1	are used:1	are using:1
are very:1	are weaker:1	are what:1	are widely:1	are wild:1	are working:3	are wrecking:1	are you:1	area:9	area NULL:3
area for:1	area he:1	area is:1	area may:1	area of:1	area to:1	areas:1	areas of:1	argentina:2	argentina also:1
argentina would:1	argue:2	argue that:1	argue there:1	argues:3	argues mr.:1	argues tacitly:1	argues that:1	arguing:1	arguing that:1
argument:1	argument NULL:1	arguments:2	arguments infiniti:1	arguments into:1	arise:1	arise for:1	arising:1	arising from:1	aristech:4
aristech based:1	aristech chemical:1	aristech common:1	aristech in:1	ariz.:1	ariz. operator:1	arizona:1	arizona market:1	ark.:1	ark. hazardous-waste:1
arm:2	arm and:1	arm twisting:1	armco:5	armco 's:2	armco convinced:1	armco inc.:1	armco national:1	armenians:1	armenians to:1
armonk:1	armonk n.y.:1	armor:1	armor crushes:1	arms:1	arms to:1	army:11	army but:1	army contract:1	army divisions:2
army exercises:1	army for:1	army guys:1	army headquarters:1	army officer:1	army or:1	army two:1	arnold:4	arnold NULL:1	arnold advertising:2
arnold to:1	arose:1	arose NULL:1	around:36	around 1.60:1	around 10:1	around 11:15:1	around 2.86:1	around 200,000:1	around 25:1
around 250:2	around 84:1	around NULL:5	around a:1	around but:1	around campaign:1	around declining:1	around he:1	around him:1	around just:1
around permitting:1	around shortly:1	around since:2	around the:6	around they:1	around this:1	around through:1	around wall:1	around when:1	arpeggios:1
arpeggios no:1	arps:1	arps slate:1	arrangement:1	arrangement with:1	arrangements:1	arrangements NULL:1	arranging:1	arranging peace:1	array:1
array of:1	arrest:1	arrest is:1	arrested:2	arrested and:2	arrow:19	arrow 's:2	arrow as:1	arrow blamed:1	arrow chairman:1
arrow chief:1	arrow compared:1	arrow is:1	arrow mr.:1	arrow name:1	arrow of:1	arrow plc:1	arrow posted:1	arrow reports:1	arrow suggested:1
arrow tumult:1	arrow was:2	arrow would:1	art:19	art &:1	art NULL:1	art appreciation:1	art auctions:1	art collection:1	art dealer:1
art dealers:1	art for:1	art indexes:1	art market:1	art of:1	art prices:1	art that:1	art venture:1	art works:1	art world:3
art you:1	art-world:1	art-world parlance:1	arthur:4	arthur NULL:1	arthur an:1	arthur cashin:1	arthur m.:1	article:4	article NULL:2
article wall:1	article was:1	articles:5	articles and:1	articles as:1	articles suggesting:1	articles that:1	articles trumpeting:1	artificial:2	artificial boosts:1
artificial intelligence:1	artist:5	artist NULL:1	artist and:1	artist peter:1	artist said:1	artist who:1	artists:1	artists and:1	artwork:1
artwork is:1	artworks:1	artworks have:1	as:368	as 0.70:1	as 1:1	as 1,000:1	as 1.2965:1	as 10:1	as 14.22:1
as 14.9:1	as 20:1	as 200:1	as 2:30:1	as 37:1	as 374:1	as 4.7:1	as 40:1	as 471.60:1	as 60,000:1
as 63.52:1	as 69:1	as 8:1	as 8.70:1	as 80,000:1	as 9:1	as 9.60:1	as 97.75:1	as a:41	as active:1
as aeroflot:1	as africa:1	as an:7	as any:1	as anything:1	as background:2	as blue:2	as business:1	as calculated:1	as centrust:1
as chairman:2	as char-grilled:1	as chief:1	as citicorp:1	as clients:1	as coated:1	as collateral:1	as color:1	as construction:1	as declaring:1
as demonstrated:1	as dominant:1	as encyclopedic:1	as expected:3	as failed:1	as fair:1	as far:4	as fast:1	as financial:1	as first:1
